code,initial_population,final_population
S12000011,95530.00050175398,126085.46043078705
S12000018,73113.323167157,67645.17111519401
S12000029,320530.00049445895,353863.64630062686
S12000038,179100.000683684,207947.33865149494
S12000039,88929.99935648,91202.68736713105
S12000045,108640.00056339498,134783.99626406402
S12000049,633120.0027264949,736046.0001070006
S12000050,341370.00177937304,375143.986113324
